analysis,domain,cohort,outcome,exposure,n,people,term,term_raw,events,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,weighted,status
domain_outcome,good_self_rated_health,MHAS,next_good_srh,social_participation,23094,13498,social_participation,social_participation,21683,-0.07063152310159682,0.06072237101401804,0.9318051775590754,0.8272507957249965,1.0495739543713134,0.24475330226273917,clustered_by_person,False,ok
domain_outcome,good_self_rated_health,SHARE,next_good_srh,social_participation,135004,69063,social_participation,social_participation,81678,0.4338644104048642,0.015443813266629563,1.5432096107639146,1.4971967650845033,1.590636553786368,1.1898614070893255e-173,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,CHARLS,next_no_adl_limitation,social_participation,64152,22085,social_participation,social_participation,50941,0.2097023047687437,0.02233448717645677,1.233310854541751,1.1804865805766138,1.2884989028740486,6.04747172111201e-21,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,ELSA,next_no_adl_limitation,social_participation,28470,10018,social_participation,social_participation,23681,0.07880890542875997,0.050967779389144326,1.0819975384576368,0.9791328537113732,1.1956688704610532,0.12204431336937989,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,HRS,next_no_adl_limitation,social_participation,38320,19891,social_participation,social_participation,31568,0.15812002529524785,0.03469283890286995,1.171306772712263,1.0943078479137005,1.2537235828265874,5.171347652372561e-06,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,KLoSA,next_no_adl_limitation,social_participation,34113,8492,social_participation,social_participation,32458,0.6545390653788188,0.06715898295235186,1.9242553570165652,1.686925192028957,2.1949750329790496,1.9166609034848177e-22,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,MHAS,next_no_adl_limitation,social_participation,23050,13468,social_participation,social_participation,18779,0.14989045461949552,0.03986737648211072,1.161706976124942,1.0743871400329141,1.2561236523512482,0.00017009882601173474,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,SHARE,next_no_adl_limitation,social_participation,135010,69066,social_participation,social_participation,118319,0.4488625674419944,0.02438038011859077,1.5665293502689008,1.493432291823842,1.6432041939155873,1.0759944051143594e-75,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,CHARLS,next_no_multimorbidity,social_participation,62442,21941,social_participation,social_participation,37750,0.01001424185819403,0.023904123974334387,1.0100645521778515,0.9638324166516179,1.058514303877176,0.6752646252006005,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,ELSA,next_no_multimorbidity,social_participation,28481,10019,social_participation,social_participation,15427,-0.07772029386729906,0.0686832743495789,0.9252231809520842,0.8086900912924185,1.058548810957984,0.2578130471233627,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,HRS,next_no_multimorbidity,social_participation,38358,19907,social_participation,social_participation,12420,0.009484040205156561,0.05199153869156437,1.0095291562290631,0.9117227150705458,1.117827932144595,0.8552569995335164,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,KLoSA,next_no_multimorbidity,social_participation,34113,8492,social_participation,social_participation,22262,0.18930862743891627,0.06111879720247463,1.2084138446075834,1.071988982333763,1.362200585924146,0.0019523417207820413,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,MHAS,next_no_multimorbidity,social_participation,24401,14163,social_participation,social_participation,12924,-0.002273770705400671,0.04658773099054992,0.9977288123530779,0.9106599491703299,1.093122393168179,0.9610737311017061,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,SHARE,next_no_multimorbidity,social_participation,135162,69146,social_participation,social_participation,62692,0.26044448224029054,0.02103787862530421,1.2975066771888242,1.245093017696082,1.3521267515135316,3.3622879036590146e-35,clustered_by_person,False,ok
domain_outcome,not_depressive,CHARLS,next_not_depressive,social_participation,60538,21072,social_participation,social_participation,39057,0.12544005555915777,0.01907006602933283,1.133647211075518,1.092056620378133,1.1768217647307562,4.772957073940489e-11,clustered_by_person,False,ok
domain_outcome,not_depressive,ELSA,next_not_depressive,social_participation,27796,9797,social_participation,social_participation,22767,0.12270545614181867,0.04824425795446618,1.1305513749377225,1.0285465719871276,1.2426723749652153,0.010977289426154986,clustered_by_person,False,ok
domain_outcome,not_depressive,HRS,next_not_depressive,social_participation,36978,19145,social_participation,social_participation,29504,0.11089253034184897,0.03077618351388492,1.117274827258371,1.051871765165057,1.1867445072350071,0.0003143319013468663,clustered_by_person,False,ok
domain_outcome,not_depressive,KLoSA,next_not_depressive,social_participation,19774,7550,social_participation,social_participation,15131,0.33569159245133323,0.039211131561492356,1.3989075246349107,1.295423637151627,1.5106581402073929,1.1176664833805922e-17,clustered_by_person,False,ok
domain_outcome,not_depressive,MHAS,next_not_depressive,social_participation,23092,13499,social_participation,social_participation,15952,0.02747072111119243,0.032467285451259154,1.0278515203163097,0.9644809882171168,1.0953857678102026,0.39749436833888874,clustered_by_person,False,ok
domain_outcome,not_depressive,SHARE,next_not_depressive,social_participation,135288,69218,social_participation,social_participation,98833,0.3198588179852578,0.016167556838583907,1.376933352387689,1.3339846045124997,1.4212648710518412,4.089925021346514e-87,clustered_by_person,False,ok
domain_outcome,cognition_not_low,CHARLS,next_cognition_not_low,social_participation,60170,21016,social_participation,social_participation,49309,0.268280077597016,0.025678075337398916,1.3077133499415814,1.2435261954420176,1.3752136560400838,1.4992153191999248e-25,clustered_by_person,False,ok
domain_outcome,cognition_not_low,ELSA,next_cognition_not_low,social_participation,28481,10019,social_participation,social_participation,25890,0.03607405399489592,0.060473846746880736,1.036732617840266,0.9208531647933373,1.1671942520120964,0.550825744293733,clustered_by_person,False,ok
domain_outcome,cognition_not_low,HRS,next_cognition_not_low,social_participation,26234,16775,social_participation,social_participation,22488,0.10825778499416688,0.043776669525971895,1.1143349671971594,1.0227095355902671,1.214169200448112,0.01340005762602981,clustered_by_person,False,ok
domain_outcome,cognition_not_low,KLoSA,next_cognition_not_low,social_participation,12973,7890,social_participation,social_participation,11047,0.6048559083092067,0.06463209235665861,1.8309883596684222,1.6131309940600669,2.0782679060696445,8.09184684709566e-21,clustered_by_person,False,ok
domain_outcome,cognition_not_low,MHAS,next_cognition_not_low,social_participation,23105,13503,social_participation,social_participation,18647,0.2869200828202503,0.040826346560779804,1.332317734145125,1.2298601251912984,1.4433109167121727,2.0979014379096154e-12,clustered_by_person,False,ok
domain_outcome,cognition_not_low,SHARE,next_cognition_not_low,social_participation,129483,66268,social_participation,social_participation,108858,0.49202940791199806,0.02289178301227042,1.635632219026337,1.5638668640436122,1.7106908634150921,1.782703860008665e-102,clustered_by_person,False,ok
